,BEI_companyName,BEI_Cohort,BEI_Address,BEI_City,BEI_State,BEI_Zip,BEI_yearEstablished,BEI_NAICSCode,BEI_Sector,BEI_numberOfEmployees,BEI_execName,BEI_execTitle,BEI_execEth,BEI_revenue,BEI_Sustained Revenues >$800K,BEI_Website,BEI_phone,BEI_Strong Leadership and Willing to ready to grow,BEI_Demonstrated Proven Business Model,"BEI_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MBE_Cohort,MBE_Address,MBE_City,MBE_State,MBE_Zip,MBE_yearEstablished,MBE_NAICSCode,MBE_Sector,MBE_numberOfEmployees,MBE_execName,MBE_execTitle,MBE_execEth,MBE_revenue,MBE_Sustained Revenues >$800K,MBE_Website,MBE_phone,MBE_Strong Leadership and Willing to ready to grow,MBE_Demonstrated Proven Business Model,MBE_referenceUSA_indicator,referenceUSA_companyName,"MBE_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",MVCF_Address,MVCF_City,MVCF_State,MVCF_Zip,MVCF_yearEstablished,MVCF_NAICSCode,MVCF_Sector,MVCF_numberOfEmployees,MVCF_execName,MVCF_execTitle,MVCF_execEth,MVCF_revenue,MVCF_Sustained Revenues >$800K,MVCF_Website,MVCF_phone,MVCF_Strong Leadership and Willing to ready to grow,MVCF_Demonstrated Proven Business Model,"MVCF_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",NAIC_Address,NAIC_City,NAIC_State,NAIC_Zip,NAIC_yearEstablished,NAIC_NAICSCode,NAIC_sector,NAIC_numberOfEmployees,NAIC_execName,NAIC_execTitle,NAIC_execEth,NAIC_revenue,NAIC_Sustained Revenues >$800K,NAIC_Website,NAIC_phone,NAIC_Strong Leadership and Willing to ready to grow,NAIC_Demonstrated Proven Business Model,"NAIC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",USBC_companyAddress,USBC_City,USBC_State,USBC_Zip,USBC_yearEstablished,USBC_NAICCode,USBC_sector,USBC_numberOfEmployees,USBC_execName,USBC_execTitle,USBC_executiveRace,USBC_revenue,USBC_Sustained Revenues >$800K,USBC_Website,USBC_phone,USBC_Strong Leadership and Willing to ready to grow,USBC_Demonstrated Proven Business Model,"USBC_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",RefUSA_address,RefUSA_City,RefUSA_State,RefUSA_Zip,RefUSA_yearEstablished,RefUSA_NAICSCode,RefUSA_sector,RefUSA_numberOfEmployees,RefUSA_execName,RefUSA_execTitle,RefUSA_execEth,RefUSA_revenue,RefUSA_Sustained Revenues >$800K,RefUSA_Website,RefUSA_phone,RefUSA_Strong Leadership and Willing to ready to grow,RefUSA_Demonstrated Proven Business Model,"RefUSA_51% owned, operated, capitalized and controlled by a member(s) of a presumed minority group",Name,Ethnicity
13035,Kirkland Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171 East St # 142 Methuen,,MA,1844.0, NA,238990.0,,10,Lawrence D Selkovits,"president, treasurer, board member",Eastern European,"$1,043,000",,,(978) 682-3703,,,,Lawrence D Selkovits,Eastern European
13036,Kitchen Sales Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 Manley St West Bridgewater,,MA,2379.0, NA,337110.0,,14,Barry Wood,"owner, president, finance exec, treasurer, board member",Western Europe,"$3,043,000",,,(508) 588-1234,,,,Barry Wood,Western Europe
13037,Kitchen Tune-Up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 Lenox Rd Peabody,,MA,1960.0, NA,236118.0,,1_4,,,,"$787,000",,,(978) 587-7957,,,,,
13038,Kittansett Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 Point Rd Marion,,MA,2738.0,1922,713910.0,,50,Mark Milhench,"president, board member",Uncoded,"$6,059,000",,,(508) 748-0148,,,,Mark Milhench,Uncoded
13039,Kizerlla General Constr Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Beaver St Salem,,MA,1970.0,2017,236115.0,,1_4,,,,"$1,180,000",,,,,,,,
13040,Klaven's Law Group PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420 Boylston St Boston,,MA,2116.0, NA,541110.0,,1_4,,,,"$1,384,000",,,(617) 502-6280,,,,,
13041,Klear Vu Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 Airport Rd Fall River,,MA,2720.0,1966,314999.0,,150,Robert W Cooper,"ceo, treasurer, board member",Western Europe,"$11,991,000",,,(508) 674-5723,,,,Robert W Cooper,Western Europe
13043,Kloudy Visionz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 Old Colony Ave East Taunton,,MA,2718.0, NA,312230.0,,7,,,,"$4,441,000",,,(508) 386-3374,,,,,
13044,KM CHNG ENVIRONMENTAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 TRADECENTER STE 5900 Woburn, Massachusetts 1801 United States",,,,,,Certified Contractors,,,,Black,,,,781-272-4060,,,,,,,,,,,,,,,,,,,,,,,
13045,"KM Chng Environmental, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 TradeCenter, Suite 5900 Woburn, Massachusetts 1801 United States",,,,,,Certified Contractors,,,,Black,,,,(781) 935-1550,,,,,,,,,,,,,,,,,,,,,,,
13046,Kmart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2203 Northampton St Holyoke,,MA,1040.0, NA,452210.0,,115,,,,"$20,089,000",,,(413) 538-7655,,,,,
13047,Kmz Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 Union St # 206 Lynn,,MA,1901.0,2018,236115.0,,1_4,Eduardo Gonzalez Areva,owner,Hispanic,"$1,180,000",,,,,,,Eduardo Gonzalez Areva,Hispanic
13048,Knapp Foods Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225 Arlington St Framingham,,MA,1702.0, NA,445110.0,,1_4,Stephen Knapp,president,Western Europe,"$592,000",,,(508) 202-9864,,,,Stephen Knapp,Western Europe
13049,Knf & T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Post Office Sq # 200 Boston,,MA,2109.0,1983,561311.0,,30,Beth Tucker,"ceo, owner",Western Europe,"$4,434,000",,,(617) 574-8200,,,,Beth Tucker,Western Europe
13050,Knight Transportation Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 Knight St Worcester,,MA,1605.0,2017,488210.0,,10_19,Nilceia Tavares,"president, board member",Hispanic,"$1,362,000",,,,,,,Nilceia Tavares,Hispanic
13051,"Knowledge Management, Inc. d/b/a: K&M Softech, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"353 Middlesex Road Tyngsboro, Massachusetts 1879 United States",,,,,,Certified Contractors,,,,Black,,,,(978) 649-0123,,,,,,,,,,,,,,,,,,,,,,,
13055,Ko Marketing Assoc LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374 Congress St # 507 Boston,,MA,2210.0,2006,541613.0,,5,,,,"$1,510,000",,,(781) 209-1989,,,,,
13056,Koah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts United States,,,,,,Certified Contractors,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,
13057,"Koetter Kim & Associates, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"356 Boylston Street Boston, Massachusetts 2116 United States",,,,,,Certified Contractors,,,,Black,,,,(617) 536-8560,,,,,,,,,,,,,,,,,,,,,,,
13058,Kohl's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139 Church St Pembroke,,MA,2359.0, NA,452210.0,,100-249,,,,"$17,631,000",,,(781) 826-3696,,,,,
13061,Kohl's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350 Winthrop Ave North Andover,,MA,1845.0, NA,452210.0,,103,,,,"$18,336,000",,,(978) 686-8737,,,,,
13064,Kohl's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 Country Club Blvd Worcester,,MA,1605.0, NA,452210.0,,100-249,,,,"$19,464,000",,,(508) 854-2590,,,,,
13067,Kohler Signature Store By Supl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323 Speen St # 3 Natick,,MA,1760.0, NA,444190.0,,7,,,,"$5,210,000",,,(508) 720-3820,,,,,
13068,Koisa Nossa Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 Highridge Rd Bellingham,,MA,2019.0, NA,236115.0,,1_4,Francisco Dasilva Chagas,owner,Hispanic,"$855,000",,,,,,,Francisco Dasilva Chagas,Hispanic
13069,Komodo Freight Solutions Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430 Franklin Village Dr # 189 Franklin,,MA,2038.0, NA,488510.0,,5_9,Fernando J Mendonca,"president, treasurer, board member",Hispanic,"$1,332,000",,,,,,,Fernando J Mendonca,Hispanic
13070,"Korboe, Akosua MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55 Fruit St Boston,,MA,2114.0, NA,621111.0,,1_4,,,,"$934,000",,,(617) 724-3874,,,,,
13071,Koreana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 Prospect St Cambridge,,MA,2139.0, NA,722511.0,,20,Oscar Amaya,owner,Hispanic,"$1,119,000",,,(617) 576-8661,,,,Oscar Amaya,Hispanic
13072,Koroacy Construction Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72 Varney St Lowell,,MA,1854.0,2015,236115.0,,1_4,Jose M Pinto,"president, treasurer, board member",Hispanic,"$1,334,000",,,,,,,Jose M Pinto,Hispanic
13073,Korsch America Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 Bristol Dr South Easton,,MA,2375.0, NA,326199.0,,20,Frederick J Murray,"president, treasurer",Western Europe,"$4,695,000",,,(508) 238-9080,,,,Frederick J Murray,Western Europe
13074,Kosmos Kitchens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43 Roy St Fall River,,MA,2721.0,2015,236118.0,,1_4,,,,"$724,000",,,(508) 567-1561,,,,,
13075,KOSO America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253 Pleasant St West Bridgewater,,MA,2379.0, NA,333999.0,,1_4,Mark Gallagher,president,Western Europe,"$511,000",,,(774) 517-5300,,,,Mark Gallagher,Western Europe
13076,KP Sparkle Cleaning LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 Birchmont St Tyngsboro,,MA,1879.0, NA,561720.0,,5_9,Kelvin Peralta,owner,Hispanic,"$655,000",,,(978) 677-0768,,,,Kelvin Peralta,Hispanic
13077,KPMG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 South St # 100 Boston,,MA,2111.0,1910,541110.0,,1000,,,,"$345,936,000",,,(617) 988-1000,,,,,
13078,KRíŠYOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Massachusetts United States,,,,,,Certified Contractors,,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,
13079,Krishna Priya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386 Columbia Rd # 3 Hanover,,MA,2339.0, NA,517312.0,,3,Petal J Cabral,"president, treasurer, board member",Hispanic,"$2,258,000",,,(781) 829-2000,,,,Petal J Cabral,Hispanic
13080,Kriss Law Atlantic Closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15 Crawford St Needham,,MA,2494.0, NA,541110.0,,3,Scott Kriss,ceo,Western Europe,"$728,000",,,(617) 964-3788,,,,Scott Kriss,Western Europe
13081,Krofta Technologies Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401 South St Dalton,,MA,1226.0,1953,561499.0,,12,Mike Noyes,executive vp,Western Europe,"$926,000",,,(413) 236-5634,,,,Mike Noyes,Western Europe
13082,Kronos Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900 Chelmsford St # 312 Lowell,,MA,1851.0,1977,334519.0,,3000,Aron J Ain,ceo,Far Eastern,,,,(978) 250-9800,,,,Aron J Ain,Far Eastern
13083,Krueger Auto Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310 Columbia Rd Dorchester,,MA,2121.0, NA,811111.0,,10,Rico Fig,owner,Western Europe,"$1,342,000",,,(617) 606-4033,,,,Rico Fig,Western Europe
13084,Ksm Staffing Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380 Washington St Brighton,,MA,2135.0, NA,541612.0,,7,Todd Taylor,owner,Western Europe,"$2,114,000",,,(617) 338-8500,,,,Todd Taylor,Western Europe
13085,KT Cleanouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974 Lakeview Ave Dracut,,MA,1826.0, NA,562211.0,,1_4,Bob Gouveia,owner,Hispanic,"$835,000",,,(978) 957-2900,,,,Bob Gouveia,Hispanic
13086,KT&T,1.0,,,MA,,,423840.0,Industrial Supply and Distribution,,Not in D&B,,,,y,http://kttdistributors.com/index.php/services,,Y,Y,,1.0,,,MA,,,423840.0,Industrial Supply and Distribution,,Not in D&B,,,,,http://kttdistributors.com/index.php/services,,,,0.0,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13087,Ktchn Us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1434 Columbia Rd Boston,,MA,2127.0,2018,453998.0,,20-49,,,,"$6,521,000",,,,,,,,
13088,Ktz Mechanical Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 Marlborough St Chelsea,,MA,2150.0,2018,238210.0,,10_19,Jose Torres,owner,Hispanic,"$2,144,000",,,,,,,Jose Torres,Hispanic
13089,Kubotek USA Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Mount Royal Ave # 500 Marlborough,,MA,1752.0,1979,511210.0,,20,Naotake Kakashita,"president, board member",Far Eastern,"$11,742,000",,,(508) 229-2020,,,,Naotake Kakashita,Far Eastern
13090,Kukuye General Facilities Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222 Stuart St Boston,,MA,2116.0,2016,236220.0,,5_9,Gebisso Tilahun,owner,African American,"$4,180,000",,,,,,,Gebisso Tilahun,African American
13091,"Kyu Sung Woo Architect, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"488 Green Street Cambridge, Massachusetts 2139 United States",,,,,,Certified Contractors,,,,Black,,,,(617) 547-0128,,,,,,,,,,,,,,,,,,,,,,,
13093,L & C Spanish Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128 Harvard St Dorchester,,MA,2124.0,2015,722511.0,,5_9,Victoria C Cabral,owner,Hispanic,"$598,000",,,(617) 514-6620,,,,Victoria C Cabral,Hispanic
13094,L & D Cleaning Svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162 Green St # 1 Clinton,,MA,1510.0, NA,561720.0,,5_9,Orlando D Filho,owner,Hispanic,"$623,000",,,(978) 760-1571,,,,Orlando D Filho,Hispanic
13095,"L & K Trucking, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"One Whipple Rd Peabody, Massachusetts 1960 United States",,,,,,Certified Contractors,,,,Black,,,,(978) 535-5667,,,,,,,,,,,,,,,,,,,,,,,
13097,"L & M Glass Company, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245 Old Yarmouth Road Hyannis, Massachusetts 2601 United States",,,,,,Certified Contractors,,,,Black,,,,(508) 778-6888,,,,,,,,,,,,,,,,,,,,,,,
13098,L & M Glass Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245 Old Yarmouth Rd Hyannis,,MA,2601.0, NA,444190.0,,4,Avelino Lopes,"owner, president, treasurer, board member",Hispanic,"$1,402,000",,,(508) 778-6888,,,,Avelino Lopes,Hispanic
13099,L & M Marble & Granite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120 Southbridge Rd North Oxford,,MA,1537.0, NA,423320.0,,9,Renan Barros,owner,Hispanic,"$8,356,000",,,(508) 731-6666,,,,Renan Barros,Hispanic
13100,L & M Radiology Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 General St Lawrence,,MA,1841.0, NA,621111.0,,1_4,,,,"$537,000",,,(978) 683-4000,,,,,
13109,L & S Boule Insurance Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158 Main St Marlborough,,MA,1752.0, NA,524210.0,,4,Joseph G Santos,"president, treasurer, board member",Hispanic,"$708,000",,,(508) 485-4900,,,,Joseph G Santos,Hispanic
13110,L & S Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414a Fletcher St Lowell,,MA,1854.0,2016,236115.0,,1_4,Ricardo Lima,"president, treasurer",Hispanic,"$1,334,000",,,,,,,Ricardo Lima,Hispanic
13111,L & S Industries Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Lambeth St New Bedford,,MA,2745.0, NA,339999.0,,25,Jeanne-Mari Boylan,"president, treasurer, board member",Western Europe,"$5,327,000",,,(508) 995-4654,,,,Jeanne-Mari Boylan,Western Europe
13112,L A Donuts Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 Washington St Westwood,,MA,2090.0, NA,722515.0,,5_9,Lindsey Andrade,"owner, president",Hispanic,"$536,000",,,,,,,Lindsey Andrade,Hispanic
13113,"L A L Construction Company, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145 15th Street Fall River, Massachusetts 2723 United States",,,,,,Certified Contractors,,,,Black,,,,(508) 676-3962,,,,,,,,,,,,,,,,,,,,,,,
13114,L B Auto Transport Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 Main St # 30 Malden,,MA,2148.0, NA,811198.0,,5_9,Lucas B DE Sousa,"president, treasurer, board member",Hispanic,"$846,000",,,,,,,Lucas B DE Sousa,Hispanic
13115,L B L Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52 Judson St Malden,,MA,2148.0,2016,236115.0,,1_4,Leonardo B Leal,"president, vice president, treasurer, board member",Hispanic,"$1,334,000",,,,,,,Leonardo B Leal,Hispanic
13116,L B Ultra Cleaning Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 Bearses Way # 3eg Hyannis,,MA,2601.0,2016,561720.0,,5_9,Leandro Bastos,"president, treasurer, board member",Hispanic,"$798,000",,,,,,,Leandro Bastos,Hispanic
13117,L C Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 Lucy Dr Reading,,MA,1867.0, NA,236220.0,,3,Lorenzo Colomba,"president, treasurer, board member",Hispanic,"$1,334,000",,,(781) 944-7131,,,,Lorenzo Colomba,Hispanic
13118,L C F Autosales Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24 Joy St Somerville,,MA,2143.0,2015,441120.0,,1_4,Lucas Almeida,"president, treasurer",Hispanic,"$1,298,000",,,,,,,Lucas Almeida,Hispanic
13119,L Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56 Avalon Dr Taunton,,MA,2780.0, NA,236115.0,,1_4,Antonio Loura,owner,Hispanic,"$724,000",,,(774) 501-3343,,,,Antonio Loura,Hispanic
13120,L Construction Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33 Coomes St # 2 Springfield,,MA,1108.0, NA,236115.0,,1_4,Leopoldo Loja,"president, vice president, treasurer, board member",Hispanic,"$696,000",,,,,,,Leopoldo Loja,Hispanic
13121,L D Food Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19 Washington St Wellesley Hills,,MA,2481.0,2016,445110.0,,5_9,Juan Daniel Morales,president,Hispanic,"$1,411,000",,,,,,,Juan Daniel Morales,Hispanic
